2025-07-15 22:33:23,309 - Fold 4 Epoch 4: Train Loss=0.6830, Val Loss=0.6635, Acc=0.6425, F1=0.7824
2025-07-15 22:33:23,592 - Fold 4 Epoch 5: Train Loss=0.6841, Val Loss=0.6648, Acc=0.6425, F1=0.7824
2025-07-15 22:33:23,788 - Fold 4 Epoch 6: Train Loss=0.6845, Val Loss=0.6614, Acc=0.6425, F1=0.7824
2025-07-15 22:33:23,987 - Fold 4 Epoch 7: Train Loss=0.6833, Val Loss=0.6654, Acc=0.6425, F1=0.7824
2025-07-15 22:33:24,172 - Fold 4 Epoch 8: Train Loss=0.6831, Val Loss=0.6658, Acc=0.6425, F1=0.7824
2025-07-15 22:33:24,368 - Fold 4 Epoch 9: Train Loss=0.6830, Val Loss=0.6633, Acc=0.6425, F1=0.7824
2025-07-15 22:33:24,571 - Fold 4 Epoch 10: Train Loss=0.6832, Val Loss=0.6624, Acc=0.6425, F1=0.7824
2025-07-15 22:33:24,769 - Fold 4 Epoch 11: Train Loss=0.6835, Val Loss=0.6634, Acc=0.6425, F1=0.7824
2025-07-15 22:33:24,951 - Fold 4 Epoch 12: Train Loss=0.6832, Val Loss=0.6629, Acc=0.6425, F1=0.7824
2025-07-15 22:33:25,136 - Fold 4 Epoch 13: Train Loss=0.6834, Val Loss=0.6635, Acc=0.6425, F1=0.7824
2025-07-15 22:33:25,317 - Fold 4 Epoch 14: Train Loss=0.6829, Val Loss=0.6638, Acc=0.6425, F1=0.7824
2025-07-15 22:33:25,524 - Fold 4 Epoch 15: Train Loss=0.6834, Val Loss=0.6647, Acc=0.6425, F1=0.7824
2025-07-15 22:33:25,715 - Fold 4 Epoch 16: Train Loss=0.6832, Val Loss=0.6661, Acc=0.6425, F1=0.7824
2025-07-15 22:33:25,915 - Fold 4 Epoch 17: Train Loss=0.6830, Val Loss=0.6646, Acc=0.6425, F1=0.7824
2025-07-15 22:33:26,114 - Fold 4 Epoch 18: Train Loss=0.6839, Val Loss=0.6615, Acc=0.6425, F1=0.7824
2025-07-15 22:33:26,301 - Fold 4 Epoch 19: Train Loss=0.6836, Val Loss=0.6638, Acc=0.6425, F1=0.7824
2025-07-15 22:33:26,513 - Fold 4 Epoch 20: Train Loss=0.6837, Val Loss=0.6649, Acc=0.6425, F1=0.7824
2025-07-15 22:33:26,517 - [OK] Saved output/lstm/sp500/sp500_fold4.pth
2025-07-15 22:33:26,518 - [▶] SP500 Fold 5/5
2025-07-15 22:33:26,716 - Fold 5 Epoch 1: Train Loss=0.6897, Val Loss=0.6769, Acc=0.5845, F1=0.7378
2025-07-15 22:33:26,916 - Fold 5 Epoch 2: Train Loss=0.6816, Val Loss=0.6779, Acc=0.5845, F1=0.7378
2025-07-15 22:33:27,146 - Fold 5 Epoch 3: Train Loss=0.6808, Val Loss=0.6770, Acc=0.5845, F1=0.7378
2025-07-15 22:33:27,499 - Fold 5 Epoch 4: Train Loss=0.6813, Val Loss=0.6770, Acc=0.5845, F1=0.7378
2025-07-15 22:33:27,685 - Fold 5 Epoch 5: Train Loss=0.6803, Val Loss=0.6772, Acc=0.5845, F1=0.7378
2025-07-15 22:33:27,875 - Fold 5 Epoch 6: Train Loss=0.6812, Val Loss=0.6770, Acc=0.5845, F1=0.7378
2025-07-15 22:33:28,059 - Fold 5 Epoch 7: Train Loss=0.6815, Val Loss=0.6770, Acc=0.5845, F1=0.7378
2025-07-15 22:33:28,241 - Fold 5 Epoch 8: Train Loss=0.6815, Val Loss=0.6779, Acc=0.5845, F1=0.7378
2025-07-15 22:33:28,448 - Fold 5 Epoch 9: Train Loss=0.6813, Val Loss=0.6771, Acc=0.5845, F1=0.7378
2025-07-15 22:33:28,645 - Fold 5 Epoch 10: Train Loss=0.6803, Val Loss=0.6772, Acc=0.5845, F1=0.7378
2025-07-15 22:33:28,840 - Fold 5 Epoch 11: Train Loss=0.6807, Val Loss=0.6772, Acc=0.5845, F1=0.7378
2025-07-15 22:33:29,035 - Fold 5 Epoch 12: Train Loss=0.6807, Val Loss=0.6772, Acc=0.5845, F1=0.7378
2025-07-15 22:33:29,229 - Fold 5 Epoch 13: Train Loss=0.6813, Val Loss=0.6771, Acc=0.5845, F1=0.7378
2025-07-15 22:33:29,427 - Fold 5 Epoch 14: Train Loss=0.6809, Val Loss=0.6774, Acc=0.5845, F1=0.7378
2025-07-15 22:33:29,615 - Fold 5 Epoch 15: Train Loss=0.6807, Val Loss=0.6771, Acc=0.5845, F1=0.7378
2025-07-15 22:33:29,801 - Fold 5 Epoch 16: Train Loss=0.6809, Val Loss=0.6771, Acc=0.5845, F1=0.7378
2025-07-15 22:33:29,983 - Fold 5 Epoch 17: Train Loss=0.6804, Val Loss=0.6772, Acc=0.5845, F1=0.7378
2025-07-15 22:33:30,175 - Fold 5 Epoch 18: Train Loss=0.6804, Val Loss=0.6771, Acc=0.5845, F1=0.7378
2025-07-15 22:33:30,376 - Fold 5 Epoch 19: Train Loss=0.6804, Val Loss=0.6771, Acc=0.5845, F1=0.7378
2025-07-15 22:33:30,592 - Fold 5 Epoch 20: Train Loss=0.6804, Val Loss=0.6771, Acc=0.5845, F1=0.7378
2025-07-15 22:33:30,597 - [OK] Saved output/lstm/sp500/sp500_fold5.pth
